Slice,Count,Total Area,Average Size,%Area,Mean,,
W013_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G1_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G1_3_para_B.TIF,1,0.009,0.009,0.008,0.807,0.177,0.389
W013_G1_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G1_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G1_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G2_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G2_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G2_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G2_7_perp_B.TIF,1,0.007,0.007,0.006,0.493,0.383,0.692
W013_G2_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G3_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G3_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G3_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G3_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G3_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G3_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G4_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G4_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G4_7_perp_B.TIF,1,0.01,0.01,0.009,0.639,0.319,0.582
W013_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G5_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G5_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G5_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G5_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G5_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_positive_B.TIF,11,0.377,0.034,0.314,1.986,0.151,0.426
