V1,V2,V3,V4
W000,5.5,5.6,5.3
W001,14.5,12.4,10
W002,17.7,13.9,14.5
W003,13.7,12.7,12.9
W004,14.9,15.2,15.4
W005,11.2,12.1,10.8
W006,11.5,14,13.6
W007,10.3,10.9,9.7
W008,9.5,9.5,8.6
W009,9.5,10.7,10.7
W010,12,7.8,10
W011,7.5,6.3,5.9
W012,9.6,9.6,8.7
W013,8.1,8.5,9.4
W014,10.7,7.6,7.3
W015,7.2,6.6,5.1
W018,7,9.1,6.2
W019,6.6,5.2,6.1
W020,4.2,4.1,4.4
W021,5,6.6,5.9
W022,4.8,3.3,3.9
W023,5.9,3.4,4.9
W025,6.5,4.2,3.7
W027,2,3,2.2
W029,3.4,3.3,2.7
W031,2.5,2,2.9
W033,2.1,2.2,4.3
W035,2.6,2.8,2.5
W037,2.9,2.7,3.5
W039,2.5,3.1,2.5
W041,1.4,2.2,0.6
