Weight,Uweight,U2weight,Loadcell,Uloadcell,U2loadcell
0,0.0029,0.0058,11.70,0.44,0.89
20.14,0.0029,0.0058,31.10,0.15,0.29
49.66,0.0029,0.0058,59.50,0.22,0.43
99.61,0.0029,0.0058,105.55,0.12,0.24
199.47,0.0029,0.0058,206.13,0.09,0.17
299.13,0.0029,0.0058,306.40,0.23,0.47
399.09,0.0029,0.0058,407.71,0.16,0.33
498.78,0.0029,0.0058,506.78,0.75,1.50
598.56,0.0029,0.0058,605.48,0.17,0.33
698.56,0.0029,0.0058,705.19,0.33,0.65
799.09,0.0029,0.0058,802.33,0.18,0.35
898.37,0.0029,0.0058,902.41,0.60,1.19
998.68,0.0029,0.0058,998.76,0.00,0.00
