"1 garment (no detergent, no softener)",,,,,"1 garment (detergent, no softener)",,,,,"1 garment (detergent, softener)",,,,,"5 garments (no detergent, no softener)",,,,,"12 garments (no detergent, no softener)",,,
Wash number,Average,median,SD,,Wash number,Average,median,SD,,Wash number,Average,median,SD,,Wash number,Average,median,SD,,Wash number,Average,median,SD
W000,6.1,6.5,2.13,,W000,4.9,5.5,1.85,,W000,5.6,5,4.01,,W000,7.96,7,3.52,,W000,5.7,5,3.29
W001,8.7,10,3.74,,W001,12.9,11,4.51,,W001,11.2,12.5,2.57,,W001,19.64,19,6.57,,W001,13.36,14,5.24
W002,3,3,1.63,,W002,7.9,8.5,3,,W002,7.6,7.5,3.37,,W002,18.53,17.5,5.66,,W002,15.07,15,4.81
W003,3.6,3.5,2.07,,W003,5.08,4.5,4.1,,W003,2.9,2,2.13,,W003,19.6,19,6.24,,W003,13.17,14,3.14
W004,1.7,2,1.77,,W004,4.6,4,1.26,,W004,2.7,2.5,1.64,,W004,24.3,24,6.44,,W004,15.13,15,4.76
W005,1.5,1.5,0.85,,W005,4.5,4.5,2.01,,W005,2.8,3.5,1.4,,W005,18.3,17,5.8,,W005,11.6,11.5,3.19
W006,1,1,0.94,,W006,4.4,4,2.41,,W006,3.2,3.5,1.69,,W006,17.32,17,5.29,,W006,13.03,13,4.48
W007,0.5,0.5,0.53,,W007,3.1,3,1.1,,W007,1.2,1,0.79,,W007,13.13,13,5.39,,W007,10.5,9,4.03
W009,0.7,1,0.67,,W008,1,1,1.15,,W008,1.3,1,1.06,,W008,4.77,4,2.3,,W008,9.57,10,3.62
W011,0.7,0.5,0.82,,W009,1.9,2,0.99,,W009,3,3,1.49,,W009,9.47,8,5.67,,W009,10.5,10.5,3.22
W013,1.7,1.5,0.82,,W010,1.3,1,1.42,,W010,2.3,2.5,1.77,,W010,6.53,7,2.81,,W010,9.78,10,5.21
W015,1.7,2,0.82,,W013,0.5,0,0.71,,W013,2.2,2,1.55,,W011,6,6,2.95,,W011,6.97,8,3.1
,,,,,W015,1.6,1,1.78,,W015,2.3,1.5,2.11,,W012,6.43,5.5,3.85,,W012,8.33,9,4.08
,,,,,,,,,,,,,,,W013,4.87,4.5,2.43,,W013,8.5,9,4.39
,,,,,,,,,,,,,,,W014,5.5,5,3.84,,W014,8.44,8,5.11
,,,,,,,,,,,,,,,W015,4.3,4.5,2.05,,W015,6.06,6,3.4
,,,,,,,,,,,,,,,W016,3.65,3,2.54,,,,,
,,,,,,,,,,,,,,,W017,4.73,4.5,2.42,,,,,
,,,,,,,,,,,,,,,W018,1.7,1,2.11,,,,,
,,,,,,,,,,,,,,,W019,3,3,2.45,,,,,
,,,,,,,,,,,,,,,W020,4,3.5,1.7,,,,,
,,,,,,,,,,,,,,,W021,2.48,2,1.87,,,,,
,,,,,,,,,,,,,,,W022,3.6,3.5,1.96,,,,,
,,,,,,,,,,,,,,,W023,1.87,2,1.72,,,,,
,,,,,,,,,,,,,,,W024,1.7,2,1.16,,,,,
,,,,,,,,,,,,,,,W025,1.73,1,1.23,,,,,
,,,,,,,,,,,,,,,W026,1.2,1,1.64,,,,,
,,,,,,,,,,,,,,,W027,1.73,1,1.55,,,,,
,,,,,,,,,,,,,,,W028,1.5,2,0.97,,,,,
,,,,,,,,,,,,,,,W029,1.87,2,1.5,,,,,
,,,,,,,,,,,,,,,W030,1.1,0.5,1.6,,,,,
,,,,,,,,,,,,,,,W031,2.42,2,2.27,,,,,
,,,,,,,,,,,,,,,W032,0.4,0,0.52,,,,,
,,,,,,,,,,,,,,,W033,1.57,1,1.52,,,,,
,,,,,,,,,,,,,,,W034,1.1,1,1.52,,,,,
,,,,,,,,,,,,,,,W035,1.1,1,1.27,,,,,
,,,,,,,,,,,,,,,W036,1.6,1,2.46,,,,,
,,,,,,,,,,,,,,,W037,0.77,0,1.01,,,,,
,,,,,,,,,,,,,,,W038,1.3,1,1.06,,,,,
,,,,,,,,,,,,,,,W039,1.03,1,1.07,,,,,
,,,,,,,,,,,,,,,W040,1.2,0,2.49,,,,,
,,,,,,,,,,,,,,,W041,0.82,1,0.9,,,,,
,,,,,,,,,,,,,,,W042,0,0,0,,,,,
,,,,,,,,,,,,,,,W043,0.77,1,0.82,,,,,
,,,,,,,,,,,,,,,W044,0.7,0.5,0.95,,,,,
,,,,,,,,,,,,,,,W045,0.9,1,0.88,,,,,
,,,,,,,,,,,,,,,W046,0.85,1,0.81,,,,,
,,,,,,,,,,,,,,,W047,0.9,0.5,1.27,,,,,
,,,,,,,,,,,,,,,W048,0.8,0.5,1.03,,,,,
,,,,,,,,,,,,,,,W049,0.2,0,0.48,,,,,
,,,,,,,,,,,,,,,W050,0.3,0,0.67,,,,,
,,,,,,,,,,,,,,,W051,0.24,0,0.77,,,,,
