wash,value,Contact area
W000,5.4,1
W001,19.2,1
W002,20.8,1
W003,16.4,1
W004,23.6,1
W005,21.4,1
W006,17.8,1
W007,12.8,1
W008,3.8,1
W009,13.2,1
W010,7.2,1
W011,5.8,1
W012,6.6,1
W013,5.4,1
W014,7.6,1
W015,6,1
W016,3.2,1
W017,6,1
W018,0.6,1
W019,2.4,1
W020,3.4,1
W021,2.6,1
W022,4,1
W023,1.6,1
W024,1.6,1
W025,2.4,1
W026,1.8,1
W027,1.8,1
W028,1,1
W029,1.4,1
W030,1.2,1
W031,2,1
W032,0.2,1
W033,0.2,1
W034,-0.4,1
W035,1,1
W036,2.8,1
W037,1,1
W038,0.8,1
W039,0.6,1
W040,0.2,1
W041,0.4,1
W042,-0.2,1
W043,1,1
W044,1,1
W045,0.8,1
W046,0.8,1
W047,1.4,1
W048,0.8,1
W049,-0.2,1
W050,0.2,1
W051,0.2,1
W000,7.6,2
W001,17.2,2
W002,17,2
W003,16.4,2
W004,22.6,2
W005,16,2
W006,13.4,2
W007,11.2,2
W008,4,2
W009,8.8,2
W010,5.8,2
W011,4.6,2
W012,4.6,2
W013,5.4,2
W014,1.4,2
W015,4.8,2
W016,1.6,2
W017,5.6,2
W019,1,2
W021,1.6,2
W023,2.2,2
W025,1.2,2
W027,1.4,2
W029,2.2,2
W031,2.8,2
W033,0.8,2
W035,1.2,2
W037,0.4,2
W039,2,2
W041,0.6,2
W043,0.6,2
W045,0.2,2
W047,0.6,2
W049,0.2,2
W051,0,2
W000,5.6,3
W001,18.8,3
W002,16,3
W003,17.2,3
W004,23,3
W005,16,3
W006,13.8,3
W007,9.6,3
W008,2.8,3
W009,7.2,3
W010,5.4,3
W011,4.25,3
W012,8,3
W013,4.4,3
W014,4.6,3
W015,4.2,3
W016,1.6,3
W017,3.6,3
W019,2,3
W021,1.8,3
W023,0.6,3
W025,0.8,3
W027,1,3
W029,1.4,3
W031,1.4,3
W033,2.6,3
W035,1.4,3
W037,0,3
W039,0.6,3
W041,0.4,3
W043,0.2,3
W045,0.4,3
W047,0.8,3
W049,-0.4,3
W051,0.4,3
W000,6.6,4
W001,13.2,4
W006,16.4,4
W011,5,4
W016,4,4
W021,0.8,4
W026,1.2,4
W031,2,4
W036,0.8,4
W041,0,4
W046,0.4,4
W051,0,4
W000,7.4,5
W001,18.2,5
W011,4.8,5
W021,3.6,5
W031,1.4,5
W041,1,5
W051,0,5
W000,8,6
W001,25.6,6
W002,18.4,6
W003,20.6,6
W004,27.2,6
W005,18.6,6
W006,15.4,6
W007,17.4,6
W008,7.2,6
W009,10.6,6
W010,6.2,6
W011,4.4,6
W012,7,6
W013,5,6
W014,5.4,6
W015,3.6,6
W016,5.6,6
W017,4.2,6
W018,2.6,6
W019,3.6,6
W020,4.4,6
W021,2,6
W022,3.2,6
W023,1.8,6
W024,0.8,6
W025,1,6
W026,1,6
W027,3.2,6
W028,1.6,6
W029,1.6,6
W030,0.4,6
W031,2.2,6
W032,-0.2,6
W033,0.6,6
W034,1.6,6
W035,0.4,6
W036,0.8,6
W037,0.8,6
W038,1,6
W039,1,6
W040,2,6
W041,0.2,6
W042,0,6
W043,1,6
W044,0.2,6
W045,1.2,6
W046,0.6,6
W047,0.8,6
W048,0.8,6
W049,0.2,6
W050,0.4,6
W051,1,6
W000,9.2,7
W001,26,7
W002,19.4,7
W003,24.6,7
W004,25,7
W005,17.6,7
W006,20,7
W007,12.6,7
W008,4.8,7
W009,6.4,7
W010,6.6,7
W011,7,7
W012,4,7
W013,2.8,7
W014,4.6,7
W015,2.6,7
W016,2.8,7
W017,4.2,7
W019,3.6,7
W021,1.6,7
W023,1.4,7
W025,1.8,7
W027,1,7
W029,1.6,7
W031,1,7
W033,2.2,7
W035,1.2,7
W037,1.2,7
W039,0.4,7
W041,1.2,7
W043,0.8,7
W045,0.6,7
W047,0.2,7
W049,0.6,7
W051,0,7
W000,9.8,8
W001,21.8,8
W002,19,8
W003,22,8
W004,24.4,8
W005,19.4,8
W006,20.4,8
W007,13.8,8
W008,4.6,8
W009,9.6,8
W010,7.2,8
W011,10.4,8
W012,6.8,8
W013,5.6,8
W014,8,8
W015,4.6,8
W016,4.8,8
W017,4.4,8
W019,4,8
W021,3.8,8
W023,2.2,8
W025,2.4,8
W027,1.8,8
W029,2.2,8
W031,2.4,8
W033,1.6,8
W035,1,8
W037,1,8
W039,1,8
W041,0,8
W043,0.4,8
W045,1,8
W047,1.4,8
W049,0.2,8
W051,0.4,8
W000,9.6,9
W001,17.8,9
W006,19.4,9
W011,6.2,9
W016,4.4,9
W021,2,9
W026,0.6,9
W031,5.2,9
W036,1.8,9
W041,0.4,9
W046,1.6,9
W051,0.2,9
W000,10.2,10
W001,18.4,10
W011,5.4,10
W021,1.6,10
W031,2.8,10
W041,0.6,10
W051,-0.2,10
